date,pid,price,regular,promo,label,until
2026-09-16,288540,7.99,7.99,0,,
2026-09-16,288541,7.79,7.79,0,,
2026-09-16,288543,0.25,0.25,0,,
2026-09-16,288550,6.25,6.25,0,,
2026-09-16,288551,1.45,1.45,0,,
2026-09-16,288565,2.09,2.09,0,,
2026-09-16,288568,5.65,5.65,0,,
2026-09-16,288575,2.99,2.99,0,,
2026-09-16,288589,1.15,1.15,0,,
2026-09-16,288603,3.99,3.99,0,,
2026-09-16,288624,64.90,64.90,0,,
2026-09-16,288637,4.19,4.19,0,,
2026-09-16,288662,15.90,15.90,0,,
2026-09-16,288663,14.90,14.90,0,,
2026-09-16,288664,15.90,15.90,0,,
2026-09-16,288733,2.99,2.99,0,,
2026-09-16,288743,16.90,16.90,0,,
2026-09-16,288758,5.99,5.99,0,,
2026-09-16,288773,6.59,6.59,0,,
2026-09-16,288780,0.95,0.95,0,,
2026-09-16,288792,2.49,2.49,0,,
2026-09-16,288834,1.99,1.99,0,,
2026-09-16,288902,3.85,3.85,0,,
2026-09-16,288922,2.59,2.59,0,,
2026-09-16,289003,5.99,5.99,0,,
2026-09-16,289049,9.99,9.99,0,,
2026-09-16,289127,3.79,3.79,0,,
2026-09-16,289135,5.99,5.99,0,,
2026-09-16,289142,8.89,8.89,0,,
2026-09-16,289186,3.79,3.79,0,,
2026-09-16,289189,2.25,2.25,0,,
2026-09-16,289190,2.29,2.29,0,,
2026-09-16,289191,1.79,1.79,0,,
2026-09-16,289198,4.79,4.79,0,,
2026-09-16,289217,4.99,4.99,0,,
2026-09-16,289218,4.99,4.99,0,,
2026-09-16,289229,2.39,2.39,0,,
2026-09-16,289277,1.55,1.55,0,,
2026-09-16,289300,0.79,0.79,0,,
2026-09-16,289344,5.99,5.99,0,,
2026-09-16,289346,2.39,2.39,0,,
2026-09-16,289413,9.99,9.99,0,,
2026-09-16,289455,2.65,2.65,0,,
2026-09-16,289508,1.15,1.15,0,,
2026-09-16,289527,3.19,3.19,0,,
2026-09-16,289564,23.90,23.90,0,,
2026-09-16,289567,2.79,2.79,0,,
2026-09-16,289695,4.45,4.45,0,,
2026-09-16,289701,0.87,0.87,0,,
2026-09-16,289719,23.95,23.95,0,,
2026-09-16,289725,1.99,1.99,0,,
2026-09-16,289836,3.99,3.99,0,,
2026-09-16,289840,1.99,1.99,0,,
2026-09-16,289880,0.69,0.69,0,,
2026-09-16,289908,1.29,1.29,0,,
2026-09-16,289941,2.25,2.25,0,,
2026-09-16,290005,1.05,1.05,0,,
2026-09-16,290033,3.49,3.49,0,,
2026-09-16,290066,2.59,2.59,0,,
2026-09-16,290101,2.45,2.45,0,,
2026-09-16,290139,6.49,6.49,0,,
2026-09-16,290141,5.99,5.99,0,,
2026-09-16,290142,2.89,2.89,0,,
2026-09-16,290155,11.49,11.49,0,,
2026-09-16,290180,0.81,0.81,0,,
2026-09-16,290198,2.99,2.99,0,,
2026-09-16,290200,1.79,1.79,0,,
2026-09-16,290203,2.99,2.99,0,,
2026-09-16,290210,3.29,3.29,0,,
2026-09-16,290238,8.99,8.99,0,,
2026-09-16,290274,0.83,0.83,0,,
2026-09-16,290288,3.39,3.39,0,,
2026-09-16,290350,2.95,2.95,0,,
2026-09-16,290380,5.99,5.99,0,,
2026-09-16,290392,0.79,0.79,0,,
2026-09-16,290394,8.99,8.99,0,,
2026-09-16,290424,5.59,5.59,0,,
2026-09-16,290425,5.19,5.19,0,,
2026-09-16,290456,44.90,44.90,0,,
2026-09-16,290460,7.59,7.59,0,,
2026-09-16,290461,21.90,21.90,0,,
2026-09-16,290464,6.79,6.79,0,,
2026-09-16,290465,6.35,6.35,0,,
2026-09-16,290477,2.69,2.69,0,,
2026-09-16,290478,2.69,2.69,0,,
2026-09-16,290480,4.19,4.19,0,,
2026-09-16,290503,5.49,5.49,0,,
2026-09-16,290581,6.89,6.89,0,,
2026-09-16,290598,7.95,7.95,0,,
2026-09-16,290621,4.75,4.75,0,,
2026-09-16,290628,5.89,5.89,0,,
2026-09-16,290638,38.90,38.90,0,,
2026-09-16,294323,7.99,7.99,0,,
2026-09-16,294339,2.19,2.19,0,,
2026-09-16,294340,5.95,5.95,0,,
2026-09-16,294370,4.45,4.45,0,,
2026-09-16,294408,3.99,3.99,0,,
2026-09-16,294446,19.89,19.89,0,,
2026-09-16,294469,1.49,1.49,0,,
2026-09-16,294500,2.99,2.99,0,,
2026-09-16,294827,0.69,0.69,0,,
2026-09-16,298465,4.89,4.89,0,,
2026-09-16,299089,2.59,2.59,0,,
2026-09-16,300115,0.39,0.39,0,,
2026-09-16,300860,1.95,1.95,0,,
2026-09-16,304107,4.79,4.79,0,,
2026-09-16,305759,1.35,1.35,0,,
2026-09-16,306043,6.95,6.95,0,,
2026-09-16,306937,2.75,2.75,0,,
